ticker,entry_date,weekly_expiry,monthly_expiry,slippage_pct,fixed_cost_per_cycle,gross_pnl,net_pnl,raw_close_pnl_no_slippage
NIFTY,2025-12-10,2025-12-16,2025-12-30,0.5,240.0,-4649.156249999987,-4889.156249999987,-4113.749999999995
NIFTY,2025-12-10,2025-12-16,2025-12-30,0.5,320.0,-4649.156249999987,-4969.156249999987,-4113.749999999995
NIFTY,2025-12-10,2025-12-16,2025-12-30,0.75,0.0,-4916.859374999996,-4916.859374999996,-4113.749999999995
NIFTY,2025-12-10,2025-12-16,2025-12-30,0.75,80.0,-4916.859374999996,-4996.859374999996,-4113.749999999995
NIFTY,2025-12-10,2025-12-16,2025-12-30,0.75,160.0,-4916.859374999996,-5076.859374999996,-4113.749999999995
NIFTY,2025-12-10,2025-12-16,2025-12-30,0.75,240.0,-4916.859374999996,-5156.859374999996,-4113.749999999995
NIFTY,2025-12-10,2025-12-16,2025-12-30,0.75,320.0,-4916.859374999996,-5236.859374999996,-4113.749999999995
NIFTY,2025-12-10,2025-12-16,2025-12-30,1.0,0.0,-5184.562499999996,-5184.562499999996,-4113.749999999995
NIFTY,2025-12-10,2025-12-16,2025-12-30,1.0,80.0,-5184.562499999996,-5264.562499999996,-4113.749999999995
NIFTY,2025-12-10,2025-12-16,2025-12-30,1.0,160.0,-5184.562499999996,-5344.562499999996,-4113.749999999995
NIFTY,2025-12-10,2025-12-16,2025-12-30,1.0,240.0,-5184.562499999996,-5424.562499999996,-4113.749999999995
NIFTY,2025-12-10,2025-12-16,2025-12-30,1.0,320.0,-5184.562499999996,-5504.562499999996,-4113.749999999995
NIFTY,2025-12-17,2025-12-23,2025-12-30,0.0,0.0,2445.000000000002,2445.000000000002,2445.000000000002
NIFTY,2025-12-17,2025-12-23,2025-12-30,0.0,80.0,2445.000000000002,2365.000000000002,2445.000000000002
NIFTY,2025-12-17,2025-12-23,2025-12-30,0.0,160.0,2445.000000000002,2285.000000000002,2445.000000000002
NIFTY,2025-12-17,2025-12-23,2025-12-30,0.0,240.0,2445.000000000002,2205.000000000002,2445.000000000002
NIFTY,2025-12-17,2025-12-23,2025-12-30,0.0,320.0,2445.000000000002,2125.000000000002,2445.000000000002
NIFTY,2025-12-17,2025-12-23,2025-12-30,0.25,0.0,2171.7750000000087,2171.7750000000087,2445.000000000002
NIFTY,2025-12-17,2025-12-23,2025-12-30,0.25,80.0,2171.7750000000087,2091.7750000000087,2445.000000000002
NIFTY,2025-12-17,2025-12-23,2025-12-30,0.25,160.0,2171.7750000000087,2011.7750000000087,2445.000000000002
NIFTY,2025-12-17,2025-12-23,2025-12-30,0.25,240.0,2171.7750000000087,1931.7750000000087,2445.000000000002
NIFTY,2025-12-17,2025-12-23,2025-12-30,0.25,320.0,2171.7750000000087,1851.7750000000087,2445.000000000002
NIFTY,2025-12-17,2025-12-23,2025-12-30,0.5,0.0,1898.5500000000084,1898.5500000000084,2445.000000000002
NIFTY,2025-12-17,2025-12-23,2025-12-30,0.5,80.0,1898.5500000000084,1818.5500000000084,2445.000000000002
NIFTY,2025-12-17,2025-12-23,2025-12-30,0.5,160.0,1898.5500000000084,1738.5500000000084,2445.000000000002
NIFTY,2025-12-17,2025-12-23,2025-12-30,0.5,240.0,1898.5500000000084,1658.5500000000084,2445.000000000002
NIFTY,2025-12-17,2025-12-23,2025-12-30,0.5,320.0,1898.5500000000084,1578.5500000000084,2445.000000000002
NIFTY,2025-12-17,2025-12-23,2025-12-30,0.75,0.0,1625.3250000000062,1625.3250000000062,2445.000000000002
NIFTY,2025-12-17,2025-12-23,2025-12-30,0.75,80.0,1625.3250000000062,1545.3250000000062,2445.000000000002
NIFTY,2025-12-17,2025-12-23,2025-12-30,0.75,160.0,1625.3250000000062,1465.3250000000062,2445.000000000002
NIFTY,2025-12-17,2025-12-23,2025-12-30,0.75,240.0,1625.3250000000062,1385.3250000000062,2445.000000000002
NIFTY,2025-12-17,2025-12-23,2025-12-30,0.75,320.0,1625.3250000000062,1305.3250000000062,2445.000000000002
NIFTY,2025-12-17,2025-12-23,2025-12-30,1.0,0.0,1352.0999999999985,1352.0999999999985,2445.000000000002
NIFTY,2025-12-17,2025-12-23,2025-12-30,1.0,80.0,1352.0999999999985,1272.0999999999985,2445.000000000002
NIFTY,2025-12-17,2025-12-23,2025-12-30,1.0,160.0,1352.0999999999985,1192.0999999999985,2445.000000000002
NIFTY,2025-12-17,2025-12-23,2025-12-30,1.0,240.0,1352.0999999999985,1112.0999999999985,2445.000000000002
NIFTY,2025-12-17,2025-12-23,2025-12-30,1.0,320.0,1352.0999999999985,1032.0999999999985,2445.000000000002
NIFTY,2025-12-24,2025-12-30,2025-12-30,0.0,0.0,1162.5,1162.5,1162.5
NIFTY,2025-12-24,2025-12-30,2025-12-30,0.0,80.0,1162.5,1082.5,1162.5
NIFTY,2025-12-24,2025-12-30,2025-12-30,0.0,160.0,1162.5,1002.5,1162.5
