ticker,leg,side,option_type,expiry,strike,entry_date,weekly_expiry,monthly_expiry,scheduled_entry_date,spot,pe_atm,ce_atm,leg4_itm_strikes,spot_timestamp,entry_timestamp,entry_close,exit_timestamp,exit_close,entry_available,exit_available
SENSEX,L3,BUY,CE,2025-11-27,85600.0,2025-11-21,2025-11-27,2025-11-27,2025-11-21,85523.83,85500.0,85600.0,1,2025-11-21 09:30:00+05:30,2025-11-21 09:30:00+05:30,500.55,2025-11-27 15:15:00+05:30,121.0,True,True
SENSEX,L4,SELL,CE,2025-11-27,85500.0,2025-11-21,2025-11-27,2025-11-27,2025-11-21,85523.83,85500.0,85600.0,1,2025-11-21 09:30:00+05:30,2025-11-21 09:30:00+05:30,555.0,2025-11-27 15:15:00+05:30,221.1,True,True
SENSEX,L1,BUY,PE,2025-12-24,85700.0,2025-11-28,2025-12-04,2025-12-24,2025-11-28,85784.38,85700.0,85800.0,1,2025-11-28 09:30:00+05:30,2025-11-28 09:30:00+05:30,641.0,2025-12-04 15:15:00+05:30,726.05,True,True
SENSEX,L2,SELL,PE,2025-12-04,86100.0,2025-11-28,2025-12-04,2025-12-24,2025-11-28,85784.38,85700.0,85800.0,1,2025-11-28 09:30:00+05:30,2025-11-28 09:30:00+05:30,538.45,2025-12-04 15:15:00+05:30,814.1,True,True
SENSEX,L3,BUY,CE,2025-12-04,85800.0,2025-11-28,2025-12-04,2025-12-24,2025-11-28,85784.38,85700.0,85800.0,1,2025-11-28 09:30:00+05:30,2025-11-28 09:30:00+05:30,476.9,2025-12-04 15:15:00+05:30,0.1,True,True
SENSEX,L4,SELL,CE,2025-12-24,85700.0,2025-11-28,2025-12-04,2025-12-24,2025-11-28,85784.38,85700.0,85800.0,1,2025-11-28 09:30:00+05:30,2025-11-28 09:30:00+05:30,1325.0,2025-12-04 15:15:00+05:30,775.6,True,True
SENSEX,L1,BUY,PE,2025-12-24,85200.0,2025-12-05,2025-12-11,2025-12-24,2025-12-05,85244.76,85200.0,85300.0,1,2025-12-05 09:30:00+05:30,2025-12-05 09:30:00+05:30,554.0,2025-12-11 15:15:00+05:30,621.4,True,True
SENSEX,L2,SELL,PE,2025-12-11,85600.0,2025-12-05,2025-12-11,2025-12-24,2025-12-05,85244.76,85200.0,85300.0,1,2025-12-05 09:30:00+05:30,2025-12-05 09:30:00+05:30,557.7,2025-12-11 15:15:00+05:30,779.4,True,True
SENSEX,L3,BUY,CE,2025-12-11,85300.0,2025-12-05,2025-12-11,2025-12-24,2025-12-05,85244.76,85200.0,85300.0,1,2025-12-05 09:30:00+05:30,2025-12-05 09:30:00+05:30,453.85,2025-12-11 15:15:00+05:30,0.1,True,True
SENSEX,L4,SELL,CE,2025-12-24,85200.0,2025-12-05,2025-12-11,2025-12-24,2025-12-05,85244.76,85200.0,85300.0,1,2025-12-05 09:30:00+05:30,2025-12-05 09:30:00+05:30,1063.8,2025-12-11 15:15:00+05:30,531.65,True,True
